chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
90,Pathology NEET 2024,Pathology,NEET PG,NEET PG,2024,33,33,2294,2356,1797,2303
91,Community Medicine AIIMS 2017,Community Medicine,AIIMS,AIIMS/INI-CET,2017,0,0,2357,2356,2356,2365
94,Community Medicine AIIMS 2020 (May & Nov INI-CET),Community Medicine,AIIMS,AIIMS/INI-CET,2020,23,23,2357,2374,2356,2428
92,Community Medicine AIIMS 2018,Community Medicine,AIIMS,AIIMS/INI-CET,2018,32,32,2375,2397,2356,2383
93,Community Medicine AIIMS 2019 (May & Nov),Community Medicine,AIIMS,AIIMS/INI-CET,2019,48,27,2398,2433,2356,2406
95,Community Medicine NEET 2018,Community Medicine,NEET PG,NEET PG,2018,0,0,2434,2433,2356,2442
101,Community Medicine NEET 2022,Community Medicine,NEET PG,NEET PG,2022,23,23,2434,2447,2356,2565
96,Community Medicine NEET 2019,Community Medicine,NEET PG,NEET PG,2019,24,24,2448,2463,2356,2456
97,Community Medicine NEET 2020,Community Medicine,NEET PG,NEET PG,2020,23,23,2464,2478,2356,2472
98,Community Medicine INI-CET 2021,Community Medicine,INI-CET,AIIMS/INI-CET,2021,26,26,2479,2505,2356,2487
99,Community Medicine NEET 2021,Community Medicine,NEET PG,NEET PG,2021,17,17,2506,2524,2356,2514
100,Community Medicine INI-CET 2022,Community Medicine,INI-CET,AIIMS/INI-CET,2022,43,31,2525,2569,2356,2533
102,Community Medicine NEET 2023,Community Medicine,NEET PG,NEET PG,2023,15,15,2570,2585,2356,2578
103,Community Medicine INI-CET 2023,Community Medicine,INI-CET,AIIMS/INI-CET,2023,22,22,2586,2610,2356,2594
104,Community Medicine INI-CET 2024,Community Medicine,INI-CET,AIIMS/INI-CET,2024,15,15,2611,2624,2356,2619
105,Community Medicine NEET 2024,Community Medicine,NEET PG,NEET PG,2024,33,33,2625,2657,2356,2633
106,Forensic Medicine AIIMS 2017,Forensic Medicine,AIIMS,AIIMS/INI-CET,2017,0,0,2658,2657,2657,2665
109,Forensic Medicine AIIMS 2020 (May & Nov INI-CET),Forensic Medicine,AIIMS,AIIMS/INI-CET,2020,14,14,2658,2670,2657,2698
107,Forensic Medicine AIIMS 2018,Forensic Medicine,AIIMS,AIIMS/INI-CET,2018,19,19,2671,2685,2657,2678
108,Forensic Medicine AIIMS 2019 (May & Nov),Forensic Medicine,AIIMS,AIIMS/INI-CET,2019,25,18,2686,2709,2657,2693
110,Forensic Medicine NEET 2018,Forensic Medicine,NEET PG,NEET PG,2018,11,11,2710,2718,2657,2717
111,Forensic Medicine NEET 2019,Forensic Medicine,NEET PG,NEET PG,2019,11,11,2719,2727,2657,2726
112,Forensic Medicine NEET 2020,Forensic Medicine,NEET PG,NEET PG,2020,8,8,2728,2734,2657,2735
113,Forensic Medicine INI-CET 2021,Forensic Medicine,INI-CET,AIIMS/INI-CET,2021,18,18,2735,2762,2657,2742
114,Forensic Medicine NEET 2021,Forensic Medicine,NEET PG,NEET PG,2021,10,10,2763,2779,2657,2770
115,Forensic Medicine INI-CET 2022,Forensic Medicine,INI-CET,AIIMS/INI-CET,2022,28,28,2780,2816,2657,2787
116,Forensic Medicine NEET 2022,Forensic Medicine,NEET PG,NEET PG,2022,8,8,2817,2827,2657,2824
117,Forensic Medicine NEET 2023,Forensic Medicine,NEET PG,NEET PG,2023,8,8,2828,2835,2657,2835
118,Forensic Medicine INI-CET 2023,Forensic Medicine,INI-CET,AIIMS/INI-CET,2023,20,20,2836,2864,2657,2843
119,Forensic Medicine INI-CET 2024,Forensic Medicine,INI-CET,AIIMS/INI-CET,2024,12,12,2865,2877,2657,2872
120,Forensic Medicine NEET 2024,Forensic Medicine,NEET PG,NEET PG,2024,18,18,2878,2897,2657,2885
121,Ophthalmology AIIMS 2017,Ophthalmology,AIIMS,AIIMS/INI-CET,2017,15,15,2898,2924,2897,2904
122,Ophthalmology AIIMS 2018,Ophthalmology,AIIMS,AIIMS/INI-CET,2018,19,19,2925,2961,2897,2931
